Time (Instant);ElapsedTime (s);PositionRef S3.GPS_POSITION_NOISE_10M (m);PositionDispl S3.GPS_POSITION_NOISE_10M (m);PositionError S3.GPS_POSITION_NOISE_10M (m);GpsSpeedInput S3.GPS_POSITION_NOISE_10M (m/s);GpsSpeedInputError S3.GPS_POSITION_NOISE_10M (m/s);LatitudeRef S3.GPS_POSITION_NOISE_10M (deg);LatitudeInput S3.GPS_POSITION_NOISE_10M (deg);LatitudeError S3.GPS_POSITION_NOISE_10M (deg);LongitudeRef S3.GPS_POSITION_NOISE_10M (deg);LongitudeInput S3.GPS_POSITION_NOISE_10M (deg);LongitudeError S3.GPS_POSITION_NOISE_10M (deg);GpsInvalidInput S3.GPS_POSITION_NOISE_10M;SpeedRef S3.GPS_POSITION_NOISE_10M (m/s);TrainSpeedInput S3.GPS_POSITION_NOISE_10M (m/s);TrainSpeedInputError S3.GPS_POSITION_NOISE_10M (m/s);SpeedDispl S3.GPS_POSITION_NOISE_10M (m/s);SpeedDisplError S3.GPS_POSITION_NOISE_10M (m/s)
2026-07-13T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278229000;0.000171000;18.010141000;18.010422000;-0.000281000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278229000;0.000171000;18.010141000;18.010422000;-0.000281000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278229000;0.000171000;18.010141000;18.010422000;-0.000281000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:07.599Z;0.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278336000;0.000064000;18.010141000;18.010435000;-0.000294000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:08Z;1.000;0.000000;2.517065;-2.517065;0.000000;0.000000;59.278400000;59.278282000;0.000118000;18.010141000;18.010252000;-0.000111000;false;0.000000;0.000000;0.000000;0.007579;-0.007579
2026-07-13T19:47:08.599Z;1.599;0.000000;2.518780;-2.518780;0.000000;0.000000;59.278400000;59.278458000;-0.000058000;18.010141000;18.010092000;0.000049000;false;0.000000;0.000000;0.000000;0.000247;-0.000247
2026-07-13T19:47:09.599Z;2.599;0.000000;-14.797401;14.797401;0.000000;0.000000;59.278400000;59.278385000;0.000015000;18.010141000;18.010338000;-0.000197000;false;0.000000;0.000000;0.000000;-0.001541;0.001541
2026-07-13T19:47:09.999Z;2.999;0.000000;-14.797520;14.797520;0.000000;0.000000;59.278400000;59.278522000;-0.000122000;18.010141000;18.010618000;-0.000477000;false;0.000000;0.000000;0.000000;-0.000062;0.000062
2026-07-13T19:47:10.599Z;3.599;0.000000;-5.307565;5.307565;0.000000;0.000000;59.278400000;59.278313000;0.000087000;18.010141000;18.010094000;0.000047000;false;0.000000;0.000000;0.000000;0.001167;-0.001167
2026-07-13T19:47:10.999Z;3.999;0.000000;-5.307338;5.307338;0.000000;0.000000;59.278400000;59.278587000;-0.000187000;18.010141000;18.010563000;-0.000422000;false;0.000000;0.000000;0.000000;0.000083;-0.000083
2026-07-13T19:47:11.599Z;4.599;0.000000;-11.486864;11.486864;0.000000;0.000000;59.278400000;59.278492000;-0.000092000;18.010141000;18.010162000;-0.000021000;false;0.000000;0.000000;0.000000;-0.000884;0.000884
2026-07-13T19:47:11.999Z;4.999;0.000000;-11.487036;11.487036;0.000000;0.000000;59.278400000;59.278393000;0.000007000;18.010141000;18.010405000;-0.000264000;false;0.000000;0.000000;0.000000;-0.000063;0.000063
2026-07-13T19:47:12.599Z;5.599;0.000000;-6.178038;6.178038;0.000000;0.000000;59.278400000;59.278423000;-0.000023000;18.010141000;18.010124000;0.000017000;false;0.000000;0.000000;0.000000;0.000825;-0.000825
2026-07-13T19:47:12.999Z;5.999;0.000000;-6.177877;6.177877;0.000000;0.000000;59.278400000;59.278355000;0.000045000;18.010141000;18.010330000;-0.000189000;false;0.000000;0.000000;0.000000;0.000059;-0.000059
2026-07-13T19:47:12.999Z;5.999;0.000000;-6.177877;6.177877;0.000000;0.000000;59.278400000;59.278355000;0.000045000;18.010141000;18.010330000;-0.000189000;false;0.000000;0.000000;0.000000;0.000059;-0.000059
2026-07-13T19:47:13.599Z;6.599;0.000000;3.968774;-3.968774;0.000000;0.000000;59.278400000;59.278435000;-0.000035000;18.010141000;18.010334000;-0.000193000;false;0.000000;0.000000;0.000000;0.001547;-0.001547
2026-07-13T19:47:13.599Z;6.599;0.000000;3.968774;-3.968774;0.000000;0.000000;59.278400000;59.278435000;-0.000035000;18.010141000;18.010334000;-0.000193000;false;0.000000;0.000000;0.000000;0.001547;-0.001547
2026-07-13T19:47:13.999Z;6.999;0.000000;3.969074;-3.969074;0.000000;0.000000;59.278400000;59.278313000;0.000087000;18.010141000;18.009851000;0.000290000;false;0.000000;0.000000;0.000000;0.000110;-0.000110
2026-07-13T19:47:14.999Z;7.999;0.000000;-19.239418;19.239418;0.000000;0.000000;59.278400000;59.278336000;0.000064000;18.010141000;18.010008000;0.000133000;false;0.000000;0.000000;0.000000;-0.000245;0.000245
2026-07-13T19:47:14.999Z;7.999;0.000000;-19.239418;19.239418;0.000000;0.000000;59.278400000;59.278336000;0.000064000;18.010141000;18.010008000;0.000133000;false;0.000000;0.000000;0.000000;-0.000245;0.000245
