Time(Instant);ElapsedTime(s);Reference Position (m);Position BASELINE (m);Position Error BASELINE (m);Reference Speed (m/s);Speed BASELINE (m/s);Speed Error BASELINE (m/s)
19:47:08;1783367228.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:08;1783367228.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:08;1783367228.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:09;1783367229.199;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:09;1783367229.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:10;1783367230.199;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:10;1783367230.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:11;1783367231.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:11;1783367231.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:12;1783367232.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:12;1783367232.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:13;1783367233.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:13;1783367233.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:14;1783367234.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:14;1783367234.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:14;1783367234.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:15;1783367235.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:15;1783367235.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:15;1783367235.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:15;1783367235.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:16;1783367236.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:16;1783367236.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:16;1783367236.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:16;1783367236.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:17;1783367237.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:17;1783367237.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:17;1783367237.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:17;1783367237.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:18;1783367238.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:18;1783367238.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:18;1783367238.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:18;1783367238.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:19;1783367239.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:19;1783367239.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:19;1783367239.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:19;1783367239.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:20;1783367240.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:20;1783367240.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:20;1783367240.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:20;1783367240.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:21;1783367241.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:21;1783367241.399;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:21;1783367241.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:21;1783367241.799;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
