Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783885643599;2026-07-12T19:47:23.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885643599;2026-07-12T19:47:23.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644199;2026-07-12T19:47:24.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644199;2026-07-12T19:47:24.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644599;2026-07-12T19:47:24.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644599;2026-07-12T19:47:24.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645199;2026-07-12T19:47:25.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645199;2026-07-12T19:47:25.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645599;2026-07-12T19:47:25.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645599;2026-07-12T19:47:25.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646199;2026-07-12T19:47:26.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646199;2026-07-12T19:47:26.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646599;2026-07-12T19:47:26.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646599;2026-07-12T19:47:26.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647199;2026-07-12T19:47:27.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647199;2026-07-12T19:47:27.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647599;2026-07-12T19:47:27.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647599;2026-07-12T19:47:27.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648199;2026-07-12T19:47:28.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648199;2026-07-12T19:47:28.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648599;2026-07-12T19:47:28.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648599;2026-07-12T19:47:28.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649199;2026-07-12T19:47:29.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649199;2026-07-12T19:47:29.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649599;2026-07-12T19:47:29.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649599;2026-07-12T19:47:29.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650199;2026-07-12T19:47:30.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650199;2026-07-12T19:47:30.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650599;2026-07-12T19:47:30.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650599;2026-07-12T19:47:30.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651199;2026-07-12T19:47:31.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651199;2026-07-12T19:47:31.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651599;2026-07-12T19:47:31.599Z;1;1;314;-1.0;-1.0
