Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783885642199;2026-07-12T19:47:22.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885642199;2026-07-12T19:47:22.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885642599;2026-07-12T19:47:22.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885642599;2026-07-12T19:47:22.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885643199;2026-07-12T19:47:23.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885643199;2026-07-12T19:47:23.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885643599;2026-07-12T19:47:23.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885643599;2026-07-12T19:47:23.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644199;2026-07-12T19:47:24.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644199;2026-07-12T19:47:24.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644599;2026-07-12T19:47:24.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885644599;2026-07-12T19:47:24.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645199;2026-07-12T19:47:25.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645199;2026-07-12T19:47:25.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645799;2026-07-12T19:47:25.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885645799;2026-07-12T19:47:25.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646199;2026-07-12T19:47:26.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646199;2026-07-12T19:47:26.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646799;2026-07-12T19:47:26.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885646799;2026-07-12T19:47:26.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647199;2026-07-12T19:47:27.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647199;2026-07-12T19:47:27.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647799;2026-07-12T19:47:27.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885647799;2026-07-12T19:47:27.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648199;2026-07-12T19:47:28.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648199;2026-07-12T19:47:28.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648799;2026-07-12T19:47:28.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885648799;2026-07-12T19:47:28.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649199;2026-07-12T19:47:29.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649199;2026-07-12T19:47:29.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649799;2026-07-12T19:47:29.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885649799;2026-07-12T19:47:29.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650199;2026-07-12T19:47:30.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650199;2026-07-12T19:47:30.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650799;2026-07-12T19:47:30.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885650799;2026-07-12T19:47:30.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651199;2026-07-12T19:47:31.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651199;2026-07-12T19:47:31.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651799;2026-07-12T19:47:31.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885651799;2026-07-12T19:47:31.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885652199;2026-07-12T19:47:32.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885652199;2026-07-12T19:47:32.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885652799;2026-07-12T19:47:32.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885652799;2026-07-12T19:47:32.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885653199;2026-07-12T19:47:33.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885653199;2026-07-12T19:47:33.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885653799;2026-07-12T19:47:33.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885653799;2026-07-12T19:47:33.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885654199;2026-07-12T19:47:34.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885654199;2026-07-12T19:47:34.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885654799;2026-07-12T19:47:34.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885654799;2026-07-12T19:47:34.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885655199;2026-07-12T19:47:35.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885655199;2026-07-12T19:47:35.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885655799;2026-07-12T19:47:35.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885655799;2026-07-12T19:47:35.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885656199;2026-07-12T19:47:36.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885656199;2026-07-12T19:47:36.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885656799;2026-07-12T19:47:36.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885656799;2026-07-12T19:47:36.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885657199;2026-07-12T19:47:37.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885657199;2026-07-12T19:47:37.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885657799;2026-07-12T19:47:37.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885657799;2026-07-12T19:47:37.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885658199;2026-07-12T19:47:38.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885658199;2026-07-12T19:47:38.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885658799;2026-07-12T19:47:38.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885658799;2026-07-12T19:47:38.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885659199;2026-07-12T19:47:39.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885659199;2026-07-12T19:47:39.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885659799;2026-07-12T19:47:39.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885659799;2026-07-12T19:47:39.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885660199;2026-07-12T19:47:40.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885660199;2026-07-12T19:47:40.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885660799;2026-07-12T19:47:40.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885660799;2026-07-12T19:47:40.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885661199;2026-07-12T19:47:41.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885661199;2026-07-12T19:47:41.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885661799;2026-07-12T19:47:41.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885661799;2026-07-12T19:47:41.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885662199;2026-07-12T19:47:42.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885662199;2026-07-12T19:47:42.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885662799;2026-07-12T19:47:42.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885662799;2026-07-12T19:47:42.799Z;1;1;314;-1.0;-1.0
