Time (Instant);ElapsedTime (s);PositionRef S10.TUNNEL_15S_NO_TS_NOISE (m);PositionDispl S10.TUNNEL_15S_NO_TS_NOISE (m);PositionError S10.TUNNEL_15S_NO_TS_NOISE (m);GpsSpeedInput S10.TUNNEL_15S_NO_TS_NOISE (m/s);GpsSpeedInputError S10.TUNNEL_15S_NO_TS_NOISE (m/s);LatitudeRef S10.TUNNEL_15S_NO_TS_NOISE (deg);LatitudeInput S10.TUNNEL_15S_NO_TS_NOISE (deg);LatitudeError S10.TUNNEL_15S_NO_TS_NOISE (deg);LongitudeRef S10.TUNNEL_15S_NO_TS_NOISE (deg);LongitudeInput S10.TUNNEL_15S_NO_TS_NOISE (deg);LongitudeError S10.TUNNEL_15S_NO_TS_NOISE (deg);GpsInvalidInput S10.TUNNEL_15S_NO_TS_NOISE;SpeedRef S10.TUNNEL_15S_NO_TS_NOISE (m/s);TrainSpeedInput S10.TUNNEL_15S_NO_TS_NOISE (m/s);TrainSpeedInputError S10.TUNNEL_15S_NO_TS_NOISE (m/s);SpeedDispl S10.TUNNEL_15S_NO_TS_NOISE (m/s);SpeedDisplError S10.TUNNEL_15S_NO_TS_NOISE (m/s)
2026-07-16T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:07.599Z;0.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:08Z;1.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:08.599Z;1.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:09Z;2.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:09.599Z;2.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:09.999Z;2.999;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:10.599Z;3.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:10.999Z;3.999;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:11.599Z;4.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:11.999Z;4.999;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:11.999Z;4.999;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:12.599Z;5.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:12.599Z;5.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:13.199Z;6.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:13.199Z;6.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
